frame_idx,status,quality,threshold,norm_area,iou,centroid_error
85,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
86,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
87,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
88,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
89,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
90,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
91,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
92,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
93,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
94,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
95,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
96,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
97,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
98,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
99,Tracking,0.57163671875,0.5,0.004091796875,1.0,0.0
